maintenance_id,workorder_id,asset_id,completion_date,downtime_hours,maintenance_cost_eur
1,1,241,2022-05-09,20.72,4400
2,2,365,2022-08-13,4.52,1858
3,3,295,2022-09-04,14.59,4816
4,4,476,2023-04-01,20.47,4251
5,5,61,2023-11-03,7.91,1409
6,6,19,2022-10-10,37.81,2845
7,7,291,2023-05-13,5.46,3026
8,8,343,2022-05-12,7.01,2294
9,9,121,2023-10-20,20.21,4022
10,10,436,2023-03-28,31.11,3294
11,11,261,2022-09-29,1.55,4918
12,12,290,2023-10-23,18.79,4859
13,13,387,2023-08-22,10.06,3245
14,14,349,2022-09-01,12.32,2653
15,15,267,2023-06-01,24.15,1333
16,16,80,2023-04-26,25.26,3677
17,17,86,2022-12-28,24.82,4738
18,18,379,2022-03-03,9.06,873
19,19,143,2022-02-22,30.55,3937
20,20,397,2022-11-16,20.95,2854
21,21,72,2023-10-21,7.54,2321
22,22,160,2023-10-17,3.31,4292
23,23,465,2023-08-28,44.3,1149
24,24,470,2022-10-18,10.6,573
25,25,232,2023-07-30,35.2,3637
26,26,488,2023-07-18,30.49,2900
27,27,298,2022-07-09,7.69,2146
28,28,193,2022-02-08,10.24,3927
29,29,272,2023-08-12,19.37,2343
30,30,51,2023-10-26,10.57,3491
31,31,441,2023-07-05,17.72,3900
32,32,216,2022-08-23,37.4,3050
33,33,404,2022-07-09,26.68,4702
34,34,192,2022-11-24,35.63,3992
35,35,278,2023-07-22,1.69,1133
36,36,445,2022-07-30,3.86,4192
37,37,402,2023-09-07,40.63,3397
38,38,470,2023-08-14,24.42,2621
39,39,360,2023-02-03,42.14,3655
40,40,480,2023-01-07,6.58,4702
41,41,153,2022-04-07,38.43,2971
42,42,151,2023-10-29,9.85,3143
43,43,135,2023-12-01,43.58,1888
44,44,232,2022-11-22,10.72,4941
45,45,125,2023-11-29,28.72,2984
46,46,183,2023-09-07,25.04,766
47,47,401,2022-09-21,36.33,1452
48,48,97,2022-12-05,5.91,358
49,49,348,2023-05-20,3.73,1207
50,50,107,2022-04-25,11.2,1208
51,51,456,2023-05-22,44.01,2982
52,52,273,2022-02-15,44.29,3374
53,53,252,2022-08-25,5.35,4280
54,54,331,2023-02-06,42.34,2369
55,55,450,2022-05-14,28.42,4932
56,56,255,2022-04-29,35.96,1125
57,57,24,2023-06-17,42.74,2538
58,58,321,2023-08-10,31.08,2122
59,59,322,2023-02-20,21.8,1605
60,60,30,2023-02-23,46.01,4580
61,61,2,2023-01-22,18.56,1960
62,62,84,2022-06-18,28.37,2207
63,63,306,2023-06-09,23.38,4604
64,64,445,2023-09-09,35.91,3644
65,65,309,2022-12-23,23.6,4944
66,66,393,2022-05-16,36.97,3851
67,67,242,2022-10-17,33.27,3720
68,68,328,2022-01-18,1.16,2595
69,69,460,2023-07-04,42.71,991
70,70,99,2023-06-02,14.55,2567
71,71,444,2022-06-10,9.18,3173
72,72,439,2022-06-11,7.86,3362
73,73,218,2023-01-19,32.78,2111
74,74,453,2022-05-06,25.82,2280
75,75,411,2022-11-07,30.49,2580
76,76,295,2023-10-17,4.57,633
77,77,58,2022-09-28,22.77,1336
78,78,398,2023-04-25,47.14,2218
79,79,13,2023-10-10,31.61,3458
80,80,248,2023-09-30,47.5,1244
81,81,104,2023-09-20,8.57,385
82,82,337,2023-05-08,41.88,1274
83,83,405,2022-10-19,17.94,2171
84,84,226,2022-01-18,34.17,4937
85,85,1,2023-06-30,13.15,489
86,86,33,2022-06-15,19.17,4317
87,87,239,2023-07-16,6.96,4992
88,88,6,2023-02-02,10.12,3671
89,89,238,2022-08-31,1.34,3623
90,90,411,2023-05-20,5.0,4854
91,91,286,2022-11-22,2.93,1520
92,92,443,2022-03-14,45.19,4302
93,93,67,2023-07-11,27.93,3510
94,94,163,2023-10-09,5.98,2192
95,95,71,2022-09-22,25.24,2147
96,96,45,2023-01-21,34.46,1983
97,97,381,2022-10-01,33.21,3925
98,98,16,2022-04-23,4.57,2104
99,99,143,2023-05-30,13.36,4872
100,100,365,2023-11-20,13.58,969
101,101,488,2023-10-01,14.18,723
102,102,380,2022-08-17,15.18,3904
103,103,163,2023-04-13,11.83,919
104,104,466,2022-07-28,29.58,3115
105,105,206,2023-05-28,43.69,1651
106,106,81,2022-02-08,27.82,3588
107,107,479,2022-08-07,29.62,268
108,108,29,2023-02-20,35.61,2729
109,109,484,2022-03-19,17.24,2357
110,110,420,2022-12-02,17.15,1472
111,111,491,2023-09-06,16.64,4572
112,112,54,2023-05-05,15.38,2472
113,113,184,2023-04-05,32.43,3887
114,114,178,2022-09-27,14.84,539
115,115,481,2022-12-12,34.12,4131
116,116,497,2022-07-16,21.73,1916
117,117,133,2023-05-16,13.49,2902
118,118,191,2023-10-29,38.6,1728
119,119,179,2023-09-24,16.82,4521
120,120,32,2023-07-26,10.24,2761
121,121,261,2022-07-27,20.74,1760
122,122,37,2023-02-12,39.47,4880
123,123,146,2023-07-28,46.59,1280
124,124,158,2022-12-25,2.75,734
125,125,196,2023-10-23,39.2,2728
126,126,229,2022-06-27,35.89,2603
127,127,66,2022-06-04,40.38,366
128,128,417,2022-02-11,27.54,1440
129,129,418,2022-02-10,37.11,1057
130,130,294,2023-10-21,33.5,1350
131,131,334,2023-04-03,29.4,2189
132,132,469,2023-05-21,4.99,1849
133,133,112,2023-09-01,27.33,1862
134,134,484,2022-01-30,25.2,1742
135,135,258,2022-03-13,16.84,3886
136,136,251,2023-02-03,15.12,2756
137,137,343,2023-05-16,43.25,1294
138,138,445,2023-06-30,18.91,3398
139,139,241,2022-02-18,5.17,3256
140,140,482,2023-04-01,22.24,1956
141,141,461,2022-04-16,41.73,261
142,142,382,2022-01-07,8.18,4883
143,143,167,2023-07-17,32.04,1892
144,144,431,2022-05-09,4.06,2923
145,145,194,2023-05-21,3.32,2101
146,146,26,2022-11-29,29.6,4728
147,147,114,2023-06-13,6.92,1006
148,148,27,2022-07-08,16.17,3446
149,149,102,2022-02-03,36.92,4439
150,150,148,2022-06-16,45.06,4107
151,151,347,2022-02-24,10.05,3494
152,152,111,2023-09-02,39.55,1185
153,153,282,2023-07-16,44.09,1322
154,154,244,2023-12-08,47.28,1354
155,155,318,2022-03-18,8.35,1647
156,156,439,2023-09-19,36.21,4305
157,157,229,2023-12-06,37.37,4922
158,158,40,2022-06-02,17.59,1367
159,159,470,2022-05-02,17.22,1643
160,160,326,2022-04-08,9.22,1232
161,161,185,2023-11-09,41.1,2552
162,162,185,2023-10-23,27.16,1197
163,163,279,2023-05-14,21.18,2081
164,164,151,2022-10-07,44.71,1448
165,165,239,2023-01-20,24.06,1644
166,166,481,2023-03-31,16.29,2153
167,167,453,2022-09-16,31.49,2428
168,168,112,2022-10-25,39.97,3948
169,169,143,2022-10-02,34.61,1066
170,170,163,2022-04-24,24.54,3467
171,171,257,2023-03-08,1.54,3216
172,172,126,2023-09-28,28.36,3378
173,173,310,2022-09-18,36.99,1758
174,174,121,2023-02-03,22.84,2244
175,175,245,2022-01-08,29.99,4721
176,176,194,2022-04-16,2.73,1873
177,177,436,2022-02-16,31.38,2667
178,178,67,2023-02-25,44.7,3609
179,179,463,2023-04-19,25.06,1897
180,180,498,2023-11-11,40.85,3532
181,181,341,2023-08-26,23.21,3140
182,182,101,2022-02-10,24.12,676
183,183,378,2023-09-20,40.4,2836
184,184,378,2023-03-06,37.61,4264
185,185,278,2023-01-06,16.54,534
186,186,348,2022-10-26,23.6,547
187,187,244,2022-05-14,18.86,801
188,188,357,2023-02-09,15.73,2294
189,189,42,2022-12-21,6.69,2804
190,190,454,2023-12-04,17.92,3947
191,191,473,2022-03-09,42.89,1771
192,192,364,2022-08-02,43.29,1503
193,193,450,2023-05-18,33.46,600
194,194,369,2023-09-03,34.68,4580
195,195,404,2023-04-27,46.71,722
196,196,165,2023-04-24,1.1,497
197,197,189,2023-01-01,32.37,3036
198,198,397,2022-06-01,31.75,4977
199,199,220,2022-06-30,38.9,1907
200,200,159,2023-03-11,36.23,3314
201,201,96,2023-09-28,46.21,1798
202,202,47,2022-08-30,36.49,3933
203,203,146,2022-05-14,42.37,326
204,204,379,2022-09-10,43.01,4852
205,205,315,2023-06-12,23.4,2865
206,206,409,2022-08-11,12.32,2711
207,207,174,2022-09-05,19.73,3027
208,208,127,2023-03-11,38.11,4735
209,209,191,2022-11-17,10.28,671
210,210,292,2022-06-13,41.12,2052
211,211,29,2022-09-03,43.22,3766
212,212,273,2022-07-10,19.98,4816
213,213,85,2022-12-23,45.91,2258
214,214,118,2022-09-09,19.47,234
215,215,12,2022-04-17,10.24,1719
216,216,368,2022-04-30,6.97,2283
217,217,456,2022-05-17,3.25,3074
218,218,239,2022-09-19,21.63,4611
219,219,194,2023-05-20,9.18,2762
220,220,82,2023-01-12,15.57,853
221,221,56,2023-10-21,4.23,826
222,222,194,2022-07-23,6.29,1218
223,223,244,2023-01-07,24.82,482
224,224,66,2023-01-09,38.14,2603
225,225,187,2022-09-18,42.74,669
226,226,362,2022-06-28,29.23,700
227,227,1,2023-04-28,18.81,3768
228,228,421,2023-02-19,10.36,2459
229,229,286,2022-05-20,10.28,3172
230,230,380,2023-07-09,47.02,760
231,231,356,2022-04-09,40.75,1220
232,232,399,2023-10-18,38.29,679
233,233,74,2023-05-28,35.44,3552
234,234,476,2023-03-13,22.15,3961
235,235,88,2023-04-21,41.41,2579
236,236,217,2022-01-20,7.06,1367
237,237,32,2023-01-15,43.71,1431
238,238,18,2022-11-20,11.14,1811
239,239,47,2022-06-08,12.18,3444
240,240,221,2022-01-31,9.43,3534
241,241,27,2023-07-19,36.62,1627
242,242,102,2023-06-30,25.63,1376
243,243,498,2023-08-10,4.82,1234
244,244,310,2022-02-09,19.88,2509
245,245,367,2022-09-25,27.15,1274
246,246,228,2023-05-09,21.75,883
247,247,264,2023-04-14,41.25,2716
248,248,11,2023-06-24,45.69,1880
249,249,492,2023-08-19,39.07,2200
250,250,221,2022-02-07,25.72,1082
251,251,140,2022-07-02,35.3,1720
252,252,498,2023-04-20,21.55,3951
253,253,159,2022-04-11,47.7,1187
254,254,421,2023-09-30,15.47,1202
255,255,95,2022-05-06,39.17,4098
256,256,128,2022-05-05,31.93,2579
257,257,490,2023-08-18,40.05,4084
258,258,64,2022-11-09,3.51,4257
259,259,349,2023-09-11,42.67,1117
260,260,316,2022-01-28,36.45,4262
261,261,34,2023-10-13,34.96,814
262,262,402,2023-07-14,35.48,3580
263,263,479,2022-10-12,39.51,2594
264,264,8,2022-06-27,40.7,2406
265,265,179,2022-05-10,47.86,3449
266,266,191,2023-05-01,33.22,985
267,267,469,2023-04-05,6.16,303
268,268,354,2023-06-22,13.6,4144
269,269,118,2023-04-23,19.44,4149
270,270,249,2023-04-09,46.83,3714
271,271,457,2023-06-30,31.75,4264
272,272,99,2022-03-21,16.72,2969
273,273,98,2022-06-30,30.23,2358
274,274,493,2022-08-20,14.13,3386
275,275,484,2023-10-11,46.1,4765
276,276,480,2022-07-21,41.22,3029
277,277,475,2022-06-16,31.26,2102
278,278,240,2023-11-07,20.46,1393
279,279,102,2022-05-13,35.73,3071
280,280,322,2023-09-01,30.0,3682
281,281,414,2023-05-23,10.88,3291
282,282,464,2023-01-03,39.82,1936
283,283,482,2023-01-03,36.59,2630
284,284,190,2023-08-18,23.61,3895
285,285,450,2023-07-23,40.98,4091
286,286,88,2023-01-15,9.11,3012
287,287,455,2022-04-22,32.72,727
288,288,322,2023-06-24,12.33,1632
289,289,80,2022-05-30,21.95,3148
290,290,2,2023-07-25,47.72,3128
291,291,477,2022-12-02,46.4,1201
292,292,90,2023-04-15,3.89,2379
293,293,252,2023-01-22,4.57,2634
294,294,492,2023-08-29,6.8,2132
295,295,411,2022-10-09,8.82,2095
296,296,57,2022-02-27,47.63,2213
297,297,115,2023-02-24,12.31,824
298,298,284,2023-04-22,4.16,3133
