usage_id,workorder_id,part_id,quantity,cost_eur
1,12145,1049,4,318.89
2,6694,1089,4,475.68
3,13568,1049,5,469.12
4,18548,1067,4,190.31
5,6155,1082,9,197.81
6,12778,1074,9,256.88
7,9035,1083,6,266.52
8,14527,1089,6,246.85
9,4925,1056,6,85.6
10,8393,1024,5,460.7
11,3308,1044,2,211.51
12,8024,1081,6,447.31
13,194,1098,2,48.05
14,16814,1045,7,299.38
15,2892,1027,8,397.83
16,3611,1060,4,81.31
17,431,1028,2,416.45
18,14711,1060,6,425.44
19,11277,1016,2,299.55
20,4190,1068,3,157.03
21,4589,1043,7,402.09
22,10471,1062,6,418.04
23,12651,1079,8,470.84
24,10626,1024,2,75.84
25,1911,1073,6,77.0
26,17500,1055,3,433.04
27,1120,1053,4,205.22
28,4427,1096,3,21.81
29,1161,1040,2,79.03
30,19444,1041,1,55.6
31,13036,1036,7,169.41
32,2300,1002,4,487.37
33,7275,1058,5,399.19
34,6037,1042,9,204.47
35,9616,1005,8,324.02
36,8548,1064,4,63.56
37,221,1007,1,459.01
38,15616,1003,4,258.29
39,8399,1058,3,172.93
40,18193,1095,3,302.57
41,953,1076,9,463.12
42,19113,1083,7,251.01
43,17108,1077,8,118.74
44,18309,1016,9,458.1
45,18376,1065,9,485.45
46,17416,1003,8,74.49
47,4311,1012,8,364.24
48,10161,1052,6,230.02
49,13575,1096,5,39.31
50,3410,1063,9,353.77
51,2836,1030,5,159.56
52,8479,1034,9,181.2
53,13573,1060,9,265.04
54,9424,1021,1,497.46
55,19202,1014,3,123.48
56,3221,1025,4,498.39
57,8905,1006,9,490.16
58,5314,1037,7,96.76
59,11005,1065,6,334.7
60,101,1040,5,333.19
61,16665,1053,7,213.34
62,18658,1069,3,401.62
63,13854,1094,3,334.15
64,2011,1002,7,292.32
65,18287,1072,3,44.73
66,9169,1016,9,487.35
67,9004,1089,6,62.44
68,18519,1043,8,265.8
69,9596,1008,8,233.75
70,15479,1034,1,430.67
71,4156,1029,1,381.64
72,1599,1046,6,86.47
73,872,1071,6,404.56
74,3939,1033,2,471.52
75,3738,1023,1,193.98
76,1991,1084,2,417.53
77,9911,1064,1,408.59
78,616,1038,9,496.77
79,12148,1014,1,45.55
80,3562,1016,5,265.01
81,5595,1091,3,405.21
82,15322,1010,7,164.41
83,7103,1010,9,460.41
84,11785,1031,5,410.49
85,17159,1064,4,338.8
86,16554,1008,1,480.42
87,4943,1088,6,285.85
88,12340,1034,7,226.24
89,13817,1005,8,143.37
90,11633,1018,4,467.44
91,9231,1080,7,151.65
92,8308,1000,1,94.81
93,1732,1089,5,37.98
94,3306,1090,6,246.87
95,16626,1086,4,47.28
96,18630,1033,3,323.45
97,9997,1013,8,261.09
98,17535,1063,6,341.12
99,4529,1065,5,315.85
100,2436,1002,4,120.95
101,10300,1012,1,104.09
102,12301,1020,7,479.45
103,13722,1027,7,69.79
104,18890,1001,7,279.95
105,4888,1081,2,85.74
106,15212,1003,8,334.76
107,15546,1064,6,294.49
108,15068,1000,1,258.99
109,18611,1046,8,88.55
110,650,1061,2,448.35
111,19300,1083,1,435.0
112,14966,1043,6,188.19
113,16291,1020,8,496.24
114,17174,1008,7,493.82
115,9765,1030,7,456.37
116,11669,1048,6,465.67
117,9577,1073,1,479.8
118,19722,1006,3,63.83
119,13943,1096,2,50.83
120,15520,1003,1,268.62
121,11914,1052,5,392.77
122,4931,1099,3,385.66
123,9595,1031,3,402.52
124,6740,1073,2,491.66
125,18339,1072,4,257.82
126,14345,1041,4,31.03
127,15558,1045,7,181.06
128,8132,1008,3,70.18
129,17302,1054,4,458.66
130,12699,1002,7,488.05
131,8696,1093,9,214.23
132,8196,1065,3,373.33
133,3828,1041,7,357.93
134,7123,1071,4,134.07
135,18421,1074,9,301.38
136,7492,1061,3,190.06
137,9976,1069,1,115.79
138,4881,1008,9,384.78
139,5780,1005,8,333.68
140,3272,1044,7,384.35
141,15203,1013,9,274.78
142,3853,1046,4,434.29
143,13995,1051,7,155.48
144,5058,1085,5,99.25
145,14347,1062,8,459.59
146,19740,1053,1,490.52
147,10099,1070,1,464.67
148,7032,1046,9,294.25
149,4998,1045,2,175.63
150,16576,1023,7,296.31
151,3440,1034,9,212.76
152,6585,1025,8,34.09
153,18784,1025,9,228.57
154,13852,1001,9,275.17
155,10717,1024,7,405.01
156,8247,1085,2,493.15
157,16241,1062,3,131.0
158,15073,1085,4,165.79
159,3162,1077,9,200.4
160,17575,1098,5,182.01
161,12813,1063,4,450.34
162,7972,1068,1,221.57
163,9673,1063,7,471.53
164,1382,1068,7,117.57
165,7504,1013,5,203.31
166,2725,1054,1,218.88
167,9265,1081,3,195.37
168,11120,1070,6,134.28
169,11074,1072,2,280.36
170,19278,1082,5,287.42
171,6806,1029,5,218.83
172,1335,1035,1,95.29
173,5064,1005,4,392.31
174,2039,1032,3,153.78
175,7079,1009,5,249.04
176,4044,1087,2,115.49
177,7466,1011,7,199.22
178,4606,1086,3,272.95
179,842,1083,4,63.25
180,15314,1074,5,347.45
181,8253,1048,2,209.58
182,8673,1039,2,375.21
183,18153,1050,6,207.54
184,4597,1042,2,157.97
185,16804,1074,2,392.07
186,69,1011,3,108.59
187,13283,1019,8,106.32
188,6232,1078,3,397.65
189,13465,1052,9,279.43
190,15033,1001,8,429.88
191,10322,1077,6,62.64
192,17625,1078,6,276.35
193,7695,1082,9,231.53
194,3521,1094,4,463.89
195,8523,1009,7,268.59
196,18874,1049,1,392.44
197,5227,1000,5,471.98
198,4104,1022,3,108.04
199,16749,1006,9,116.77
200,9676,1049,3,84.37
201,5389,1066,1,34.31
202,10401,1059,2,133.65
203,13501,1045,2,465.29
204,9587,1089,3,83.15
205,16212,1008,6,257.97
206,17009,1093,3,462.45
207,3859,1086,7,288.81
208,2922,1092,5,253.72
209,4155,1066,3,49.17
210,10511,1057,6,245.57
211,9909,1073,1,333.8
212,1629,1086,6,369.48
213,16767,1096,5,36.03
214,3572,1023,6,274.38
215,15716,1063,5,138.77
216,18200,1043,5,165.88
217,16867,1037,3,259.39
218,19913,1076,5,62.36
219,13503,1067,7,106.75
220,5705,1003,6,20.25
221,11438,1016,4,200.76
222,7030,1011,3,201.93
223,8027,1033,7,445.85
224,1265,1053,9,297.48
225,15176,1012,9,480.08
226,10942,1024,7,40.45
227,8893,1022,5,496.34
228,9987,1045,4,346.19
229,11740,1045,4,481.17
230,1238,1086,7,346.7
231,2200,1086,6,88.94
232,9917,1098,1,301.15
233,7084,1033,8,190.46
234,13314,1021,4,289.12
235,10358,1069,7,292.69
236,305,1058,4,324.31
237,79,1018,3,38.19
238,7052,1006,1,160.34
239,16576,1030,1,122.65
240,8213,1034,6,242.79
241,5578,1068,3,76.36
242,4098,1064,5,331.53
243,2365,1080,2,481.27
244,2186,1039,7,149.05
245,14730,1044,1,379.5
246,13799,1021,5,403.53
247,3155,1080,8,139.92
248,16001,1025,3,402.67
249,18998,1031,7,234.5
250,17199,1019,4,48.2
251,13544,1048,3,242.21
252,5933,1032,6,177.55
253,9525,1030,7,43.9
254,1370,1069,3,86.85
255,1885,1045,6,152.81
256,1833,1036,2,121.38
257,18127,1012,4,90.08
258,8368,1059,3,219.07
259,18068,1092,6,478.27
260,9599,1021,3,67.03
261,4902,1025,5,174.49
262,11618,1093,5,66.09
263,4962,1092,4,151.56
264,11164,1060,7,194.97
265,19917,1083,2,116.27
266,12639,1093,4,205.0
267,1932,1000,2,253.08
268,4545,1014,5,121.64
269,16716,1072,6,395.17
270,17447,1022,9,321.25
