cycle_id,asset_id,cycle_start,duration_minutes,load_percentage
1,161,2022-01-23 10:00:00,326,86.6
2,243,2022-01-02 03:00:00,425,24.4
3,347,2022-01-26 13:00:00,534,24.9
4,67,2022-01-16 06:00:00,599,59.2
5,131,2022-01-11 22:00:00,116,73.5
6,454,2022-01-22 11:00:00,178,88.2
7,52,2022-01-28 15:00:00,338,87.6
8,17,2022-01-09 00:00:00,402,91.8
9,480,2022-01-26 20:00:00,387,28.3
10,161,2022-01-09 05:00:00,499,74.5
11,353,2022-01-06 21:00:00,149,55.5
12,424,2022-01-16 21:00:00,75,66.8
13,349,2022-01-06 17:00:00,429,96.5
14,473,2022-01-27 12:00:00,30,36.5
15,28,2022-01-09 23:00:00,387,25.8
16,51,2022-01-06 14:00:00,214,72.4
17,384,2022-01-05 06:00:00,384,29.5
18,55,2022-01-29 23:00:00,222,34.5
19,46,2022-01-29 20:00:00,585,82.7
20,403,2022-01-12 09:00:00,133,76.3
21,367,2022-01-16 01:00:00,356,30.5
22,443,2022-01-21 21:00:00,296,94.3
23,365,2022-01-12 08:00:00,215,95.4
24,480,2022-01-07 05:00:00,125,79.4
25,157,2022-01-27 13:00:00,455,27.0
26,371,2022-01-29 19:00:00,459,73.6
27,145,2022-01-23 22:00:00,99,89.1
28,389,2022-01-08 16:00:00,554,25.4
29,67,2022-01-14 13:00:00,179,78.4
30,462,2022-01-19 22:00:00,289,68.1
31,276,2022-01-21 23:00:00,134,74.8
32,358,2022-01-05 14:00:00,441,24.9
33,96,2022-01-07 10:00:00,317,78.9
34,488,2022-01-18 12:00:00,272,91.6
35,433,2022-01-25 00:00:00,177,99.5
36,398,2022-01-04 17:00:00,563,38.5
37,448,2022-01-25 08:00:00,313,42.4
38,460,2022-01-23 11:00:00,272,53.0
39,327,2022-01-18 06:00:00,459,21.1
40,288,2022-01-20 18:00:00,277,94.3
41,34,2022-01-01 09:00:00,230,72.1
42,47,2022-01-21 02:00:00,19,58.1
43,294,2022-01-14 07:00:00,250,57.7
44,248,2022-01-25 16:00:00,594,28.0
45,494,2022-01-20 03:00:00,439,56.7
46,229,2022-01-08 03:00:00,533,36.9
47,127,2022-01-05 14:00:00,153,78.8
48,305,2022-01-22 04:00:00,357,73.5
49,134,2022-01-13 04:00:00,472,92.8
50,448,2022-01-09 19:00:00,342,87.8
51,7,2022-01-07 14:00:00,286,42.9
52,213,2022-01-18 05:00:00,533,63.0
53,268,2022-01-04 20:00:00,580,25.2
54,472,2022-01-18 20:00:00,459,59.9
55,56,2022-01-04 06:00:00,275,92.9
56,11,2022-01-27 09:00:00,316,73.6
57,234,2022-01-14 04:00:00,593,94.5
58,48,2022-01-29 18:00:00,327,77.2
59,298,2022-01-21 02:00:00,290,61.8
60,272,2022-01-09 02:00:00,220,41.6
61,484,2022-01-16 16:00:00,453,26.1
62,73,2022-01-12 10:00:00,84,35.9
63,24,2022-01-06 02:00:00,440,86.6
64,282,2022-01-03 10:00:00,574,57.8
65,376,2022-01-11 23:00:00,564,75.3
66,317,2022-01-28 19:00:00,202,63.1
67,206,2022-01-25 23:00:00,40,70.0
68,344,2022-01-21 20:00:00,258,59.4
69,493,2022-01-11 19:00:00,464,70.9
70,446,2022-01-13 04:00:00,362,87.5
71,165,2022-01-26 18:00:00,332,60.7
72,367,2022-01-01 05:00:00,480,83.9
73,332,2022-01-22 09:00:00,186,74.3
74,46,2022-01-23 07:00:00,32,64.4
75,310,2022-01-03 11:00:00,36,31.6
76,280,2022-01-20 04:00:00,127,36.9
77,418,2022-01-25 13:00:00,291,42.9
78,322,2022-01-04 05:00:00,374,91.8
79,249,2022-01-20 00:00:00,82,57.3
80,284,2022-01-23 08:00:00,44,75.1
81,37,2022-01-13 23:00:00,53,64.1
82,160,2022-01-05 19:00:00,207,29.3
83,270,2022-01-18 01:00:00,71,67.4
84,248,2022-01-17 01:00:00,141,59.7
85,255,2022-01-24 18:00:00,481,50.9
86,107,2022-01-25 21:00:00,478,25.8
87,191,2022-01-07 01:00:00,487,45.9
88,265,2022-01-18 07:00:00,157,93.8
89,276,2022-01-01 02:00:00,410,54.2
90,377,2022-01-15 01:00:00,247,77.8
91,340,2022-01-02 20:00:00,94,81.5
92,372,2022-01-04 23:00:00,268,76.8
93,343,2022-01-15 07:00:00,516,31.7
94,117,2022-01-26 01:00:00,466,36.0
95,256,2022-01-24 12:00:00,434,87.7
96,475,2022-01-15 10:00:00,134,85.4
97,445,2022-01-03 23:00:00,592,96.6
98,42,2022-01-03 02:00:00,593,49.1
99,46,2022-01-27 10:00:00,119,50.7
100,440,2022-01-27 09:00:00,80,25.6
101,462,2022-01-12 02:00:00,354,23.5
102,242,2022-01-05 18:00:00,441,63.6
103,22,2022-01-23 09:00:00,271,32.6
104,446,2022-01-03 04:00:00,130,51.8
105,265,2022-01-09 12:00:00,311,51.8
106,193,2022-01-29 00:00:00,225,62.4
107,463,2022-01-26 19:00:00,366,32.8
108,378,2022-01-15 02:00:00,532,28.8
109,375,2022-01-02 21:00:00,233,55.0
110,219,2022-01-28 23:00:00,110,74.3
111,99,2022-01-14 06:00:00,119,90.2
112,448,2022-01-23 05:00:00,407,21.7
113,366,2022-01-05 19:00:00,218,61.4
114,329,2022-01-24 07:00:00,575,48.6
115,352,2022-01-14 07:00:00,531,33.2
116,425,2022-01-22 12:00:00,83,40.0
117,499,2022-01-23 12:00:00,142,36.8
118,205,2022-01-26 06:00:00,574,71.4
119,271,2022-01-23 11:00:00,507,65.4
120,222,2022-01-06 23:00:00,320,43.8
121,419,2022-01-17 04:00:00,218,36.1
122,331,2022-01-24 10:00:00,288,26.1
123,78,2022-01-24 02:00:00,554,90.0
124,216,2022-01-28 18:00:00,40,48.9
125,386,2022-01-07 05:00:00,354,68.7
126,239,2022-01-17 04:00:00,560,88.9
127,221,2022-01-18 04:00:00,149,58.4
128,206,2022-01-03 05:00:00,418,62.1
129,87,2022-01-05 12:00:00,151,42.8
130,443,2022-01-28 14:00:00,222,79.5
131,480,2022-01-12 04:00:00,62,93.3
132,318,2022-01-04 07:00:00,487,92.4
133,444,2022-01-11 02:00:00,217,35.3
134,333,2022-01-16 07:00:00,43,22.3
135,331,2022-01-20 23:00:00,546,36.8
136,457,2022-01-04 12:00:00,320,79.0
137,259,2022-01-16 11:00:00,248,37.0
138,131,2022-01-24 13:00:00,84,41.4
139,483,2022-01-15 14:00:00,321,43.0
140,348,2022-01-15 09:00:00,407,79.2
141,340,2022-01-30 02:00:00,112,80.7
142,438,2022-01-27 08:00:00,235,45.3
143,223,2022-01-06 14:00:00,402,43.1
144,320,2022-01-11 15:00:00,466,69.8
145,31,2022-01-29 19:00:00,493,36.4
146,42,2022-01-23 19:00:00,524,28.2
147,130,2022-01-27 05:00:00,473,93.3
148,417,2022-01-16 18:00:00,478,96.5
149,106,2022-01-03 07:00:00,576,68.5
150,194,2022-01-24 22:00:00,550,94.6
151,152,2022-01-06 11:00:00,415,32.2
152,78,2022-01-13 09:00:00,147,32.0
153,156,2022-01-06 15:00:00,407,70.2
154,186,2022-01-15 17:00:00,570,77.5
155,428,2022-01-13 22:00:00,212,50.0
156,478,2022-01-05 06:00:00,195,79.7
157,233,2022-01-17 23:00:00,327,74.3
158,158,2022-01-03 19:00:00,365,36.6
159,227,2022-01-05 02:00:00,370,55.0
160,41,2022-01-01 17:00:00,396,99.0
161,76,2022-01-06 02:00:00,259,46.2
162,3,2022-01-09 21:00:00,554,36.2
163,474,2022-01-02 21:00:00,496,34.8
164,184,2022-01-28 07:00:00,421,40.4
165,466,2022-01-09 21:00:00,413,27.9
166,50,2022-01-14 22:00:00,368,34.3
167,108,2022-01-09 14:00:00,598,77.3
168,233,2022-01-12 21:00:00,337,48.6
169,112,2022-01-17 06:00:00,485,39.5
170,341,2022-01-20 04:00:00,564,66.5
171,242,2022-01-05 14:00:00,413,86.8
172,464,2022-01-10 09:00:00,230,82.1
173,53,2022-01-09 11:00:00,63,82.3
174,83,2022-01-02 02:00:00,178,28.0
175,438,2022-01-03 10:00:00,512,40.4
176,268,2022-01-21 20:00:00,143,59.6
177,202,2022-01-03 06:00:00,336,45.7
178,286,2022-01-06 18:00:00,316,83.4
179,314,2022-01-06 19:00:00,189,98.2
180,444,2022-01-17 04:00:00,154,24.6
181,145,2022-01-12 13:00:00,77,93.1
182,206,2022-01-29 15:00:00,331,74.9
183,275,2022-01-09 18:00:00,451,39.8
184,397,2022-01-08 00:00:00,357,75.9
185,373,2022-01-22 14:00:00,415,77.5
186,76,2022-01-14 15:00:00,542,45.5
187,127,2022-01-08 21:00:00,541,96.6
188,289,2022-01-25 07:00:00,54,57.0
189,81,2022-01-22 04:00:00,62,57.7
190,430,2022-01-13 23:00:00,43,34.4
191,388,2022-01-04 17:00:00,484,66.9
192,266,2022-01-29 16:00:00,171,92.3
193,391,2022-01-06 20:00:00,91,23.1
194,422,2022-01-23 08:00:00,332,27.7
195,308,2022-01-25 20:00:00,491,36.0
196,348,2022-01-10 23:00:00,40,76.1
197,440,2022-01-06 13:00:00,304,79.1
198,216,2022-01-02 05:00:00,296,83.9
199,232,2022-01-03 10:00:00,263,31.1
200,90,2022-01-07 13:00:00,198,84.7
201,86,2022-01-20 01:00:00,13,65.8
202,470,2022-01-24 14:00:00,112,96.2
203,453,2022-01-04 02:00:00,553,76.5
204,191,2022-01-22 00:00:00,14,63.2
205,345,2022-01-13 17:00:00,417,30.0
206,472,2022-01-23 17:00:00,181,72.9
207,358,2022-01-04 19:00:00,279,21.6
208,97,2022-01-28 19:00:00,421,34.5
209,284,2022-01-26 11:00:00,58,93.8
210,258,2022-01-09 08:00:00,240,78.7
211,9,2022-01-14 19:00:00,432,44.2
212,37,2022-01-10 03:00:00,190,24.3
213,181,2022-01-14 10:00:00,456,56.5
214,397,2022-01-04 05:00:00,473,42.2
215,162,2022-01-22 03:00:00,32,47.7
216,175,2022-01-27 03:00:00,89,21.2
217,35,2022-01-16 10:00:00,442,54.2
218,456,2022-01-29 03:00:00,487,23.3
219,155,2022-01-16 15:00:00,583,68.6
220,436,2022-01-27 23:00:00,298,95.4
221,254,2022-01-07 01:00:00,187,35.7
222,316,2022-01-26 20:00:00,273,59.4
223,460,2022-01-07 20:00:00,208,81.4
224,258,2022-01-18 01:00:00,463,23.6
225,264,2022-01-18 07:00:00,85,40.1
226,439,2022-01-27 02:00:00,12,26.3
227,148,2022-01-04 08:00:00,75,47.2
228,232,2022-01-20 04:00:00,212,36.8
229,454,2022-01-16 10:00:00,279,83.3
230,110,2022-01-11 22:00:00,593,64.8
231,424,2022-01-10 13:00:00,167,34.2
232,398,2022-01-25 07:00:00,571,95.4
233,384,2022-01-09 23:00:00,377,58.1
234,262,2022-01-26 17:00:00,176,81.1
235,42,2022-01-27 06:00:00,537,59.5
236,308,2022-01-06 11:00:00,194,87.9
237,60,2022-01-17 04:00:00,461,81.0
238,340,2022-01-06 00:00:00,52,87.8
239,419,2022-01-01 22:00:00,67,25.7
240,168,2022-01-08 09:00:00,247,43.4
241,194,2022-01-25 14:00:00,154,97.6
242,9,2022-01-27 09:00:00,570,88.0
243,328,2022-01-23 07:00:00,137,48.1
244,209,2022-01-25 23:00:00,454,51.5
245,84,2022-01-03 02:00:00,251,61.3
246,329,2022-01-04 01:00:00,431,98.3
247,69,2022-01-06 09:00:00,580,90.6
248,419,2022-01-06 14:00:00,430,50.5
249,142,2022-01-20 09:00:00,331,52.6
250,136,2022-01-02 00:00:00,459,30.2
251,247,2022-01-17 10:00:00,39,36.7
252,79,2022-01-29 03:00:00,482,45.0
253,126,2022-01-02 01:00:00,274,67.0
254,451,2022-01-01 10:00:00,502,26.6
255,366,2022-01-06 20:00:00,123,68.9
256,161,2022-01-10 12:00:00,183,40.5
257,268,2022-01-21 14:00:00,438,74.2
258,351,2022-01-20 04:00:00,170,34.7
259,61,2022-01-28 05:00:00,438,78.5
260,183,2022-01-28 16:00:00,253,59.8
261,136,2022-01-13 06:00:00,405,45.2
262,127,2022-01-29 15:00:00,78,71.6
263,251,2022-01-28 13:00:00,168,59.6
264,465,2022-01-20 12:00:00,416,96.0
265,403,2022-01-24 06:00:00,148,57.5
266,25,2022-01-04 23:00:00,52,38.3
267,205,2022-01-15 22:00:00,445,51.3
268,71,2022-01-05 17:00:00,268,48.5
269,37,2022-01-17 14:00:00,107,50.5
270,271,2022-01-04 06:00:00,100,44.0
271,357,2022-01-17 05:00:00,137,98.1
272,242,2022-01-03 01:00:00,526,69.9
273,484,2022-01-14 09:00:00,353,64.0
274,231,2022-01-18 18:00:00,129,72.4
275,40,2022-01-19 09:00:00,395,46.9
276,227,2022-01-25 02:00:00,453,69.4
277,344,2022-01-21 20:00:00,535,65.6
278,100,2022-01-05 18:00:00,98,33.0
279,113,2022-01-01 12:00:00,73,32.9
280,313,2022-01-03 17:00:00,36,85.8
281,92,2022-01-22 07:00:00,470,74.5
282,356,2022-01-04 17:00:00,571,36.4
283,294,2022-01-21 07:00:00,551,90.8
284,440,2022-01-24 11:00:00,113,61.9
285,78,2022-01-16 17:00:00,172,50.9
286,391,2022-01-23 01:00:00,488,87.8
287,197,2022-01-22 05:00:00,590,94.3
288,382,2022-01-09 22:00:00,115,30.6
289,81,2022-01-11 22:00:00,229,87.2
290,401,2022-01-10 10:00:00,440,90.3
291,443,2022-01-06 13:00:00,223,26.2
292,144,2022-01-07 00:00:00,216,78.6
293,102,2022-01-11 20:00:00,240,46.0
294,126,2022-01-15 03:00:00,20,48.3
295,21,2022-01-02 00:00:00,233,98.0
296,480,2022-01-29 13:00:00,50,42.5
297,215,2022-01-09 06:00:00,296,34.2
298,171,2022-01-26 11:00:00,521,55.1
299,60,2022-01-01 22:00:00,103,65.2
300,494,2022-01-11 20:00:00,132,46.7
301,245,2022-01-26 08:00:00,46,23.3
302,162,2022-01-29 17:00:00,109,29.8
303,59,2022-01-16 07:00:00,186,68.9
304,306,2022-01-28 21:00:00,67,64.7
305,315,2022-01-27 13:00:00,130,85.9
306,383,2022-01-06 19:00:00,346,94.3
307,89,2022-01-26 10:00:00,182,91.4
308,205,2022-01-10 18:00:00,363,73.8
