workorder_id,asset_id,open_date,maintenance_type,priority
1,241,2022-05-04,Preventive,High
2,365,2022-08-08,Corrective,Low
3,295,2022-08-26,Inspection,High
4,476,2023-03-23,Preventive,High
5,61,2023-10-31,Inspection,High
6,19,2022-10-05,Corrective,Low
7,291,2023-05-08,Inspection,Low
8,343,2022-05-07,Preventive,Medium
9,121,2023-10-18,Preventive,High
10,436,2023-03-26,Inspection,Low
11,261,2022-09-24,Inspection,Low
12,290,2023-10-21,Corrective,Medium
13,387,2023-08-13,Preventive,Low
14,349,2022-08-26,Inspection,Medium
15,267,2023-05-29,Corrective,Low
16,80,2023-04-24,Preventive,Low
17,86,2022-12-19,Inspection,Low
18,379,2022-03-01,Preventive,Low
19,143,2022-02-19,Corrective,Medium
20,397,2022-11-11,Corrective,High
21,72,2023-10-14,Inspection,High
22,160,2023-10-12,Corrective,High
23,465,2023-08-25,Inspection,High
24,470,2022-10-16,Inspection,Low
25,232,2023-07-26,Inspection,Low
26,488,2023-07-17,Preventive,Medium
27,298,2022-07-06,Inspection,High
28,193,2022-02-02,Preventive,Low
29,272,2023-08-09,Corrective,High
30,51,2023-10-20,Preventive,High
31,441,2023-07-02,Corrective,High
32,216,2022-08-17,Corrective,High
33,404,2022-07-04,Inspection,Medium
34,192,2022-11-21,Corrective,Low
35,278,2023-07-16,Corrective,Low
36,445,2022-07-24,Preventive,High
37,402,2023-09-01,Corrective,High
38,470,2023-08-11,Preventive,Low
39,360,2023-01-30,Corrective,High
40,480,2022-12-29,Preventive,Low
41,153,2022-03-31,Inspection,Low
42,151,2023-10-26,Inspection,High
43,135,2023-11-30,Inspection,Low
44,232,2022-11-13,Corrective,Low
45,125,2023-11-21,Preventive,Low
46,183,2023-09-05,Inspection,Low
47,401,2022-09-14,Preventive,High
48,97,2022-12-01,Corrective,Medium
49,348,2023-05-15,Inspection,Medium
50,107,2022-04-18,Corrective,Low
51,456,2023-05-16,Preventive,Medium
52,273,2022-02-07,Preventive,High
53,252,2022-08-24,Corrective,High
54,331,2023-02-02,Preventive,High
55,450,2022-05-08,Inspection,Low
56,255,2022-04-27,Inspection,Low
57,24,2023-06-14,Inspection,Medium
58,321,2023-08-01,Corrective,Medium
59,322,2023-02-13,Inspection,Medium
60,30,2023-02-14,Preventive,Low
61,2,2023-01-20,Corrective,Medium
62,84,2022-06-11,Preventive,Medium
63,306,2023-06-01,Preventive,Low
64,445,2023-09-03,Inspection,Low
65,309,2022-12-14,Inspection,High
66,393,2022-05-08,Preventive,Low
67,242,2022-10-12,Corrective,High
68,328,2022-01-14,Inspection,High
69,460,2023-06-29,Corrective,High
70,99,2023-05-31,Inspection,High
71,444,2022-06-05,Preventive,High
72,439,2022-06-03,Inspection,Low
73,218,2023-01-18,Inspection,High
74,453,2022-05-05,Inspection,Medium
75,411,2022-10-31,Preventive,Medium
76,295,2023-10-16,Corrective,Medium
77,58,2022-09-23,Preventive,High
78,398,2023-04-24,Preventive,High
79,13,2023-10-07,Corrective,Low
80,248,2023-09-22,Corrective,Medium
81,104,2023-09-18,Preventive,Medium
82,337,2023-05-05,Inspection,High
83,405,2022-10-10,Corrective,High
84,226,2022-01-17,Inspection,Medium
85,1,2023-06-25,Preventive,High
86,33,2022-06-14,Preventive,Medium
87,239,2023-07-09,Corrective,Medium
88,6,2023-01-29,Preventive,High
89,238,2022-08-27,Corrective,Medium
90,411,2023-05-19,Preventive,High
91,286,2022-11-19,Corrective,Medium
92,443,2022-03-06,Corrective,High
93,67,2023-07-04,Inspection,Low
94,163,2023-09-30,Preventive,Medium
95,71,2022-09-17,Preventive,Low
96,45,2023-01-13,Corrective,High
97,381,2022-09-24,Inspection,High
98,16,2022-04-21,Corrective,Medium
99,143,2023-05-26,Preventive,Low
100,365,2023-11-11,Inspection,Medium
101,488,2023-09-22,Inspection,High
102,380,2022-08-14,Corrective,High
103,163,2023-04-12,Inspection,Low
104,466,2022-07-27,Inspection,Medium
105,206,2023-05-23,Inspection,High
106,81,2022-02-04,Inspection,Medium
107,479,2022-08-04,Corrective,Low
108,29,2023-02-15,Preventive,High
109,484,2022-03-12,Corrective,Low
110,420,2022-11-27,Inspection,Low
111,491,2023-09-01,Corrective,High
112,54,2023-04-26,Preventive,High
113,184,2023-04-03,Corrective,High
114,178,2022-09-24,Preventive,High
115,481,2022-12-09,Inspection,High
116,497,2022-07-14,Inspection,Low
117,133,2023-05-11,Inspection,Low
118,191,2023-10-28,Inspection,High
119,179,2023-09-23,Preventive,Low
120,32,2023-07-19,Corrective,Medium
121,261,2022-07-23,Corrective,Low
122,37,2023-02-09,Inspection,Medium
123,146,2023-07-20,Inspection,High
124,158,2022-12-21,Preventive,High
125,196,2023-10-15,Preventive,High
126,229,2022-06-26,Corrective,High
127,66,2022-06-03,Preventive,High
128,417,2022-02-04,Preventive,Low
129,418,2022-02-02,Preventive,Low
130,294,2023-10-20,Corrective,Low
131,334,2023-03-28,Corrective,Low
132,469,2023-05-17,Preventive,Low
133,112,2023-08-27,Corrective,Low
134,484,2022-01-29,Preventive,Medium
135,258,2022-03-08,Corrective,High
136,251,2023-01-26,Preventive,Low
137,343,2023-05-15,Preventive,Medium
138,445,2023-06-24,Inspection,Medium
139,241,2022-02-11,Inspection,Medium
140,482,2023-03-25,Corrective,High
141,461,2022-04-08,Preventive,High
142,382,2022-01-06,Corrective,Medium
143,167,2023-07-14,Corrective,High
144,431,2022-05-08,Corrective,Medium
145,194,2023-05-16,Corrective,Low
146,26,2022-11-24,Inspection,Low
147,114,2023-06-04,Inspection,Medium
148,27,2022-07-05,Corrective,High
149,102,2022-01-25,Inspection,High
150,148,2022-06-09,Corrective,Medium
151,347,2022-02-15,Preventive,High
152,111,2023-08-31,Corrective,Low
153,282,2023-07-07,Inspection,Medium
154,244,2023-12-01,Inspection,High
155,318,2022-03-09,Preventive,High
156,439,2023-09-16,Preventive,High
157,229,2023-11-27,Corrective,Low
158,40,2022-05-27,Corrective,Medium
159,470,2022-04-25,Corrective,Low
160,326,2022-04-02,Preventive,Medium
161,185,2023-11-02,Inspection,Low
162,185,2023-10-19,Preventive,Medium
163,279,2023-05-11,Corrective,High
164,151,2022-10-04,Inspection,Low
165,239,2023-01-15,Inspection,Medium
166,481,2023-03-22,Inspection,Low
167,453,2022-09-15,Inspection,High
168,112,2022-10-22,Inspection,Medium
169,143,2022-09-24,Preventive,High
170,163,2022-04-20,Corrective,Medium
171,257,2023-03-05,Inspection,Low
172,126,2023-09-19,Preventive,Low
173,310,2022-09-16,Corrective,Medium
174,121,2023-01-31,Preventive,High
175,245,2022-01-03,Preventive,Medium
176,194,2022-04-10,Corrective,High
177,436,2022-02-14,Preventive,Medium
178,67,2023-02-20,Preventive,Low
179,463,2023-04-17,Corrective,Low
180,498,2023-11-02,Preventive,High
181,341,2023-08-19,Preventive,Low
182,101,2022-02-01,Inspection,High
183,378,2023-09-15,Preventive,High
184,378,2023-03-04,Inspection,Low
185,278,2023-01-03,Inspection,Low
186,348,2022-10-20,Preventive,Low
187,244,2022-05-05,Corrective,High
188,357,2023-01-31,Inspection,Low
189,42,2022-12-16,Preventive,Medium
190,454,2023-11-29,Inspection,High
191,473,2022-03-04,Corrective,Low
192,364,2022-08-01,Preventive,Low
193,450,2023-05-09,Corrective,Medium
194,369,2023-09-01,Preventive,High
195,404,2023-04-23,Inspection,High
196,165,2023-04-20,Inspection,High
197,189,2022-12-23,Preventive,High
